sourceCurrency,targetCurrency,sourceAmount
BHD,PLN,81783.25
JPY,AUD,23.6
NOK,ZAR,395.44
SAR,DKK,6507.16
THB,PHP,74.99
QAR,THB,642.03
SAR,EUR,38.62
PLN,HUF,75.73
KWD,VND,645.53
MYR,SEK,16.87
MXN,SAR,9371.63
CZK,INR,77.35
AUD,AED,4347.37
JPY,NOK,9655.92
BRL,ILS,95.88
RUB,THB,429.74
NZD,USD,630.74
MXN,SAR,3979.37
NOK,HKD,183.39
MXN,TRY,17.47
ILS,SAR,9987.05
KWD,KRW,99.99
ZAR,BRL,799.15
INR,NOK,80.31
USD,HUF,2080.95
KWD,HKD,83.83
ILS,PLN,353.25
THB,RUB,28.76
NOK,PLN,15.55
MYR,SAR,5486.86
AED,SEK,928.17
QAR,ZAR,477.57
IDR,ZAR,82.79
INR,RON,2644.03
SGD,NOK,12.82
ILS,KRW,87.94
CAD,ZAR,685.88
USD,QAR,29.89
ZAR,KRW,6288.99
VND,CHF,17.53
TRY,SGD,604.04
BHD,RON,64.6
USD,MYR,71.62
EUR,PHP,634.98
DKK,BRL,942.07
ZAR,MYR,12.71
ZAR,AED,92.22
INR,OMR,334.69
MYR,DKK,64741.69
HKD,MXN,3629.29
CZK,HKD,26.42
OMR,ZAR,474.8
HUF,MYR,208.31
THB,HRK,309.13
INR,HRK,84.26
BHD,THB,421.65
QAR,CNY,244.61
CZK,CAD,627.71
CNY,HUF,673.01
KRW,THB,1557.05
PHP,TRY,1150.68
BRL,CHF,527.63
NZD,DKK,2242.95
PHP,RUB,72751.01
SAR,IDR,10.52
BRL,THB,33.1
EUR,MXN,200.33
OMR,ZAR,349.16
SAR,AED,21.66
INR,PLN,1790.54
NOK,PHP,98.0
BHD,DKK,58.1
KWD,NZD,118.75
HUF,RUB,88.35
MYR,RON,68.87
OMR,CHF,214.7
HRK,AED,20946.0
NZD,ZAR,952.87
IDR,EUR,2053.23
CHF,ZAR,783.15
PLN,CNY,799.31
CZK,HKD,87.53
HUF,CNY,966.73
HRK,EUR,413.93
ILS,CZK,15.84
NOK,EUR,2760.05
ILS,CAD,9483.53
SEK,KWD,34.03
DKK,CAD,4778.49
INR,CAD,1109.05
NOK,HKD,43750.74
MYR,THB,125.46
ZAR,PHP,7171.47
MXN,HUF,67.07
ILS,KWD,66.89
OMR,NZD,3722.55
SGD,RON,29.6
MXN,AED,82.45
THB,ILS,783.61
PLN,AUD,13.6
RUB,BRL,7313.47
HKD,HRK,666.3
USD,CZK,7022.5
HUF,SAR,527.36
JPY,SAR,658.53
GBP,BHD,976.43
BRL,SAR,54526.93
MXN,AED,762.36
BRL,DKK,20.83
RUB,CAD,75.84
BHD,OMR,566.48
KWD,HUF,160.4
BRL,ZAR,78.3
HRK,CNY,79.88
VND,INR,330.44
PHP,KRW,17.13
PHP,ILS,122.31
MYR,EUR,87.85
JOD,USD,44.96
HKD,BHD,327.39
RUB,ILS,257.51
JPY,CNY,4674.34
RUB,SEK,7331.33
BRL,VND,815.73
BGN,AED,192.95
BHD,TRY,37.45
SGD,ILS,505.36
JPY,USD,91.22
ZAR,INR,36.04
PHP,BHD,75.77
KRW,SGD,5532.34
USD,KWD,564.32
USD,CHF,3496.68
DKK,AED,641.25
MYR,RON,102.28
USD,EUR,132.05
KRW,SAR,9514.73
CNY,RON,65.15
CNY,RUB,182.81
IDR,BHD,783.94
SAR,JOD,36.01
AED,BGN,202.77
SAR,BGN,65.94
KWD,CAD,48.69
DKK,SAR,25.26
HKD,ILS,73.44
BHD,KRW,343.72
HKD,IDR,190.78
KRW,AED,59.97
MXN,USD,95758.25
USD,DKK,194.37
CNY,ZAR,20.64
BRL,QAR,23.03
VND,KWD,26496.18
MXN,KRW,332.44
PLN,CAD,4815.55
DKK,AED,56.79
PHP,GBP,6008.79
GBP,AED,63.84
VND,OMR,567.8
SAR,PLN,94.84
SEK,QAR,71.28
NOK,HKD,93.94
SAR,CHF,1118.07
EUR,RUB,41.13
EUR,SEK,619.4
AUD,NZD,32.32
DKK,PHP,21.78
DKK,IDR,131.88
PHP,EUR,540.08
HRK,MXN,4444.35
RUB,MYR,2486.41
JOD,ILS,88.98
INR,HUF,292.75
VND,GBP,624.03
GBP,BRL,21.95
KRW,ILS,471.21
CHF,THB,38.66
THB,OMR,910.52
SGD,NZD,30.29
QAR,BHD,4347.25
HKD,DKK,76.04
AUD,EUR,913.98
GBP,SEK,93.94
HKD,IDR,94.05
QAR,VND,12.98
SGD,ILS,2378.1
SGD,BRL,76.86
ZAR,USD,329.81
CHF,VND,7306.4
CHF,OMR,83.35
KWD,TRY,90.15
QAR,NOK,9290.86
BGN,CZK,61.2
ILS,CZK,892.65
SGD,THB,3945.38
MYR,CNY,67.05
CZK,TRY,447.99
JPY,NZD,89.84
AUD,RON,44.05
KWD,MXN,8267.44
CAD,NZD,690.07
RON,NZD,78.13
USD,THB,4963.14
BGN,GBP,217.13
USD,IDR,29.8
USD,OMR,26.73
HKD,ILS,936.66
JOD,THB,66.73
AUD,OMR,2929.34
SGD,HKD,23.37
CZK,HUF,32.87
HRK,HUF,83.28
RUB,AUD,163.72
INR,PHP,84.68
BGN,CHF,20044.01
USD,BGN,983.73
OMR,RON,9398.56
TRY,SEK,7462.81
TRY,HUF,903.53
BHD,RON,474.25
THB,SEK,8238.16
DKK,TRY,51.23
HUF,TRY,65.97
CHF,MXN,8038.74
MXN,HKD,14.74
KRW,OMR,10.96
HKD,KWD,62.32
NZD,JOD,47.08
OMR,KRW,91.06
AUD,JOD,69.23
SGD,AED,67.78
USD,BHD,109.2
HKD,OMR,864.9
RON,USD,51.76
JOD,BHD,87.71
RUB,JPY,8213.96
JPY,MXN,724.45
ZAR,AUD,31.9
CNY,ILS,8511.84
THB,SGD,97.19
PHP,VND,421.02
ILS,THB,16.24
BHD,IDR,710.48
ILS,HRK,544.1
PHP,CZK,30.34
GBP,BHD,295.15
QAR,RUB,377.25
IDR,ZAR,39.38
HRK,AED,33627.86
