sourceCurrency,targetCurrency,sourceAmount
JPY,KZT,44.29
SAR,CHF,492.26
LKR,BHD,461.19
ARS,GBP,4522.61
JPY,PLN,11450.78
CNY,UAH,1777.38
RON,USD,302067.53
EUR,AZN,165.42
BGN,BYN,258.12
CHF,HKD,5.31
USD,ARS,238325.95
GBP,AMD,42025.67
TWD,USD,2794.02
INR,CHF,309.6
ZAR,CAD,40322.17
USD,BDT,208.03
CHF,VES,154.95
CHF,ARS,229.06
CHF,NGN,3502.88
GBP,PGK,4187.33
EUR,FJD,40738.14
AED,AUD,24996.83
HUF,VND,2194.68
UZS,DKK,291.19
GBP,ALL,395.83
ETB,USD,345.23
WST,EUR,395.3
TND,ALL,31.14
RSD,BGN,20.91
KES,FJD,2920.4
BYN,KWD,16135.83
PHP,UYU,2040.01
USD,CAD,449.91
RUB,CNY,258.07
GBP,CHF,415.34
NZD,USD,578372.81
AUD,BDT,830.89
EUR,UYU,374164.6
PHP,UGX,45.52
CAD,ARS,356.21
TOP,EUR,1779.15
OMR,GBP,3960.08
GBP,UGX,1837.01
SBD,CAD,1516.98
TMT,EUR,5.95
MYR,KWD,160.56
GBP,HKD,4.34
CNY,NZD,21.5
BDT,CNY,1515.73
NOK,CNY,37.08
TND,EUR,1196.04
HKD,USD,410.93
USD,GHS,4621.19
COP,MKD,1008.96
USD,ARS,2683.89
CAD,BDT,445.39
USD,EGP,21.76
CNY,KWD,430.6
HKD,JPY,4519.84
SAR,EUR,19785.07
THB,USD,235.62
CNY,USD,58.67
PKR,EGP,643.93
USD,IDR,34630.63
CNY,HKD,160.17
CAD,JOD,491099.59
GBP,HKD,15905.34
JPY,PHP,60.94
DZD,SAR,38.3
CHF,HKD,316.98
MYR,JPY,71.12
MYR,PGK,4804.91
RUB,CHF,336.9
TND,CNY,4809.64
CNY,RUB,44.22
EUR,BOB,182.68
VES,USD,41433.88
HRK,ILS,452.2
MYR,EUR,8.81
BHD,JPY,354024.49
COP,VND,31579.0
EUR,SAR,12248.02
RUB,CAD,43.08
COP,USD,11.69
CAD,ILS,41089.02
AUD,KES,3418.02
KES,CAD,19.26
EUR,THB,264.85
PKR,PLN,3415.17
BYN,AUD,48655.75
CNY,BHD,139.98
JPY,UYU,23.24
CHF,ZAR,439.23
AUD,JPY,54.74
PKR,JOD,91.25
COP,CAD,79.6
CHF,SEK,47562.17
CNY,VES,426400.2
AZN,LBP,41162.58
QAR,AUD,3820.58
GHS,CNY,670.39
AUD,PEN,25012.78
AUD,CLP,2931.05
PKR,TWD,18527.88
KZT,HRK,284.54
QAR,NGN,29.93
EUR,ZAR,4730.35
RSD,EUR,48.51
USD,COP,15341.91
USD,KRW,758283.37
BRL,WST,284.06
INR,KES,443.47
MXN,CNY,109.87
UYU,EUR,134.33
PLN,ZAR,168.22
TWD,SBD,82.1
EUR,RON,31.64
NZD,CHF,3148.45
JPY,AMD,4769.52
AED,USD,2.81
AMD,CAD,23.26
GBP,PHP,328.46
DZD,USD,23.5
EUR,UAH,1180.61
CNY,SGD,39570.96
CNY,DKK,1889.72
TND,INR,25.81
NZD,CAD,2702.53
CHF,RON,985.47
UZS,AUD,2969.67
GBP,MDL,268500.75
PGK,TMT,273.17
UYU,JPY,3875.13
CNY,BGN,20.14
GBP,ALL,105.88
INR,GBP,456.95
AUD,CAD,1.81
HKD,AUD,5.35
BOB,AUD,3877.54
BDT,AUD,41.31
EUR,TWD,53.37
ALL,USD,5.93
KWD,FJD,3990.51
RUB,USD,4119.25
USD,TWD,59.08
INR,BOB,28253.16
IRR,AUD,376.53
RUB,CNY,88240.18
LKR,AUD,167.35
JPY,ARS,4232.88
PLN,AUD,408778.85
CHF,DKK,388.19
PGK,JPY,17.81
AUD,NOK,4.0
PKR,USD,48.81
UZS,CHF,48.34
PKR,BYN,20700.67
PYG,BDT,22990.8
EUR,USD,1486.0
USD,ALL,440.83
GBP,AMD,40.37
AMD,RUB,429.41
PKR,UGX,12728.68
CAD,SEK,41159.8
CNY,NZD,426846.02
KZT,AUD,81.19
CAD,PYG,22589.37
JPY,RON,22653.0
HUF,GBP,534811.81
AUD,PLN,24626.26
EUR,MDL,16783.38
TWD,CAD,3627.03
CAD,COP,130.32
MAD,USD,4198.27
CNY,SAR,10052.38
PEN,AUD,4827.76
USD,TZS,761165.33
AUD,EUR,65.38
INR,AUD,396142.98
ALL,RSD,22.05
BDT,GBP,35.02
SGD,GBP,148945.17
CAD,EUR,289.08
PGK,GBP,2104.7
ARS,AED,13.02
JPY,BHD,408983.65
DZD,AUD,136258.4
PHP,USD,40.55
WST,GBP,27.13
MKD,JPY,3740.83
DKK,CHF,31.42
CAD,TMT,4512.59
PLN,BYN,1855.28
RUB,JPY,155.36
ETB,USD,3649.54
MXN,CNY,28905.63
EUR,MYR,461784.27
VUV,CNY,29329.97
USD,GEL,28.42
LKR,GEL,48.58
BGN,RON,30331.29
MKD,KRW,23058.12
AUD,AED,434.66
IDR,CAD,484205.0
CAD,GHS,2761.19
KES,JPY,13.11
GEL,EUR,3897.33
AUD,SEK,410.43
USD,ALL,4917.86
JPY,TZS,27244.23
HRK,BGN,148.17
LKR,CAD,656.69
AZN,CHF,1129.64
HRK,CLP,1747.46
JOD,FJD,29.67
AMD,CAD,23.9
CAD,PGK,795158.76
EUR,UAH,48.69
JPY,TND,453.32
CAD,NGN,305.71
HKD,TMT,410.68
AUD,USD,24960.25
CAD,TWD,12853.68
CAD,SBD,5.29
MAD,KZT,26719.6
IDR,TOP,247.99
CNY,RON,152.46
DKK,CNY,439.57
USD,AUD,3514.51
FJD,RUB,49.47
AUD,CNY,21.73
USD,GBP,9.64
COP,JPY,32.81
JPY,GHS,2081.31
NZD,CNY,3706.97
AUD,CNY,33348.25
CZK,JPY,5635.04
JPY,GHS,251.81
USD,HRK,37205.72
IRR,JOD,1122.04
KWD,NZD,2619.43
CHF,NOK,263.39
AUD,NZD,14.66
FJD,HKD,133.62
MYR,JPY,477.41
BYN,JPY,18.91
PYG,CAD,47.46
CAD,RUB,8.88
PHP,CAD,42.25
BYN,NOK,461.62
CHF,PEN,2669.9
NZD,CHF,159.69
QAR,CHF,4.89
ILS,CNY,9.27
AUD,GHS,419.85
PLN,JPY,444.98
CAD,PYG,37458.84
SAR,EUR,295.77
VES,BYN,398.53
TOP,DKK,165.86
EUR,FJD,1033.28
COP,GBP,4712.25
HRK,EUR,963.43
EUR,HUF,388.38
CAD,PKR,364.98
AUD,TOP,235.48
MAD,KRW,26390.55
CAD,BOB,8.84
GBP,PKR,4797.42
LBP,GBP,49.32
IRR,KES,439.67
INR,JOD,1176.99
EGP,AUD,29308.34
QAR,GBP,3792.87
USD,BOB,639.88
DZD,CNY,47035.83
KWD,AZN,29.57
UZS,AMD,29.87
JPY,MYR,34.56
ILS,CHF,43.9
EUR,NOK,318.02
TWD,HKD,1619.28
CHF,MYR,4832.57
KRW,VND,363.78
COP,MKD,1533.14
RUB,GBP,1802.77
CNY,RON,3111.61
UAH,PGK,474.58
GEL,CAD,1387.15
USD,OMR,48.37
EUR,GHS,21.82
EUR,KES,496.21
CAD,FJD,24803.32
EUR,COP,98.9
HUF,KRW,334.39
CZK,CNY,419.63
DKK,EUR,386.72
CNY,SGD,3154.82
KES,UZS,4827.04
EUR,RSD,3189.24
EUR,CAD,39749.97
CNY,CAD,2842.69
CHF,INR,84.57
CAD,RSD,235.08
AZN,ARS,1.63
ILS,CLP,486.71
SBD,CLP,30066.75
ILS,PLN,4275.53
MDL,RON,2781.57
TOP,AUD,4801.77
CNY,OMR,12.58
GBP,LBP,37.88
CHF,NOK,3877.8
AUD,TOP,3173.02
JOD,HKD,298.7
EUR,QAR,4851.46
ALL,CAD,32588.22
EUR,SBD,399.04
CHF,AUD,68825.29
JPY,MKD,31201.1
AZN,TND,47.39
KRW,CHF,4366.03
JPY,CHF,65.93
SGD,RON,470.38
CZK,CAD,3.55
PGK,USD,421.88
EUR,USD,4717.47
TZS,USD,7173.4
BGN,AED,12.04
SBD,CHF,4588.55
AZN,GBP,4795.47
JPY,HKD,342293.13
VND,EUR,246.49
EUR,VES,2070.86
AUD,CAD,26.11
JPY,AZN,463.0
GHS,BOB,350.05
LKR,ALL,144.45
AUD,CAD,10806.7
SBD,ALL,16387.97
PKR,CHF,304.98
CNY,COP,9.78
NOK,AMD,115.69
EUR,UYU,151.18
IRR,DZD,24.45
USD,QAR,437.06
BOB,VES,28.73
AUD,SEK,3299.46
WST,USD,1969.29
AUD,UYU,18910.3
KRW,UGX,489.21
CNY,MAD,130.85
UAH,SEK,192.04
JPY,TMT,134.83
BYN,EUR,45.68
GBP,SEK,29504.72
HKD,JOD,33.13
CLP,CHF,205.86
CNY,AUD,352.78
PGK,CHF,2388.42
CZK,BHD,916.7
TRY,EUR,422.37
UZS,UYU,1073.38
KWD,VND,4164.32
NOK,GBP,45372.08
GBP,SEK,42421.21
GBP,IRR,780.22
CAD,VND,19.86
IDR,EUR,10978.87
SAR,DZD,2.67
ARS,PHP,31.51
NOK,CAD,4442.09
OMR,JPY,11410.17
CAD,FJD,377.51
AUD,AZN,891945.24
JPY,GBP,7911.06
OMR,MKD,16840.59
TZS,ILS,6.69
ILS,CAD,344.61
NOK,GBP,246.14
EUR,RSD,1362.87
CNY,BGN,4636.82
JOD,MKD,427.35
TOP,CHF,22006.44
CNY,TRY,1232.69
BOB,USD,46.81
COP,JPY,5850.69
SGD,PKR,306.79
RON,EUR,12.92
OMR,GBP,5781.73
JPY,MKD,27.46
THB,CAD,41062.94
INR,BRL,8088.43
WST,CZK,13.94
CNY,HUF,8511.72
BGN,GBP,10752.69
CAD,RUB,465.99
MDL,CAD,4923.27
AUD,CHF,22912.06
EUR,JOD,19.37
RON,CNY,44.32
UYU,CHF,30.05
CHF,CNY,4061.42
BOB,GBP,4.22
JPY,USD,32112.29
RSD,MDL,1097.67
BDT,UAH,188880.65
EUR,CNY,22.99
UAH,LKR,27.09
THB,CLP,214.15
INR,CNY,495.86
UYU,CNY,4114.86
TWD,CAD,365.78
SGD,AUD,120.46
PKR,KWD,423.74
AUD,TRY,48.51
PHP,LBP,41075.99
GBP,EGP,28530.15
JPY,UGX,23125.69
USD,EGP,4125.89
USD,CAD,154.11
PLN,MYR,482.06
EUR,CZK,458.64
BHD,RON,2545.36
CAD,CHF,36.68
ALL,PLN,42950.82
BDT,KZT,42658.39
ZAR,PEN,32.72
EUR,AUD,481.84
KWD,JPY,2.35
SBD,OMR,1283.99
GBP,BGN,6.27
CHF,GHS,1362.21
BYN,CAD,170.26
KES,TZS,2022.58
JPY,DZD,232.94
CHF,GBP,26.06
EUR,UGX,37.23
BYN,CNY,397.11
CHF,PKR,24.4
VES,EUR,74.64
FJD,JPY,17.63
TOP,CHF,4953.33
DKK,VUV,3858.74
NGN,USD,271.05
VES,TWD,47.23
DKK,USD,350.66
CHF,PKR,76.95
ZAR,USD,24515.41
UAH,USD,2895.25
CAD,MXN,234136.81
KWD,CAD,16939.37
CAD,GBP,32.76
GBP,MDL,50529.0
SGD,USD,12382.51
AMD,AUD,234.9
MDL,BGN,300.49
JPY,IDR,18.69
USD,AED,3346.97
LBP,JPY,793223.14
NGN,CAD,489.17
USD,NGN,3588.46
TND,HKD,23.22
DKK,CNY,2867.16
AZN,MAD,31188.94
CHF,WST,3820.06
CAD,EGP,175.66
EUR,ALL,349.38
PLN,GHS,1.84
USD,MAD,29.99
DKK,SBD,25.41
GBP,ARS,2871.22
CHF,LKR,2.97
CNY,BYN,137.87
UYU,CHF,419.26
TWD,CHF,10811.4
JPY,TZS,358.19
WST,LKR,1107.94
PLN,TMT,17.32
HUF,AUD,1285.26
INR,RUB,482.39
KZT,CAD,3356.06
OMR,SBD,31050.81
GEL,TRY,2001.37
CNY,KWD,6256.03
TWD,GBP,200.28
MYR,JPY,38561.31
CNY,JPY,34.38
CNY,SBD,42.74
LKR,GEL,70.14
AZN,VND,9775.05
PHP,CAD,38780.55
CHF,TND,629.98
EUR,EGP,4.73
ALL,JPY,37020.89
AUD,MAD,25.67
GBP,PLN,21.48
COP,RON,11710.53
CHF,USD,489.74
CAD,GBP,209.17
USD,GEL,2850.67
HKD,USD,31.54
ARS,DKK,324.83
PKR,GBP,1414.88
PHP,THB,39.45
BDT,GBP,11.29
COP,ETB,1449.23
ZAR,AZN,402.02
CNY,DKK,305.14
PYG,CHF,397.97
CNY,PKR,8175.33
CZK,JPY,4669.21
BHD,EUR,24.84
NZD,EUR,464122.07
NZD,PKR,292.72
TMT,EUR,26.13
QAR,BGN,333.88
USD,GEL,63508.34
PGK,GBP,2797.28
FJD,JPY,1596.1
WST,CAD,26545.67
JPY,KES,229999.4
PEN,EUR,32.27
CNY,CHF,110.19
MYR,CNY,641118.53
ZAR,CAD,295.47
JOD,CNY,138.22
AUD,GHS,43.16
UGX,USD,123.04
CAD,PYG,42121.79
CNY,CLP,119.96
JOD,JPY,2302.69
CNY,CLP,3476.69
GHS,EUR,431.86
SBD,CNY,232603.84
COP,USD,2173.92
KES,CHF,14578.92
COP,JPY,17871.42
TOP,CHF,3278.49
GBP,PGK,14.88
TZS,TWD,220722.56
QAR,EUR,39.61
CZK,CNY,4962.42
IDR,CAD,18.49
PYG,USD,16.89
CAD,SBD,49.35
TND,CHF,165.15
CLP,AUD,412.95
GBP,PKR,1548.02
JPY,COP,3884.75
OMR,CAD,720486.7
PYG,JPY,31.49
DZD,AUD,43.7
PYG,PLN,182.67
PEN,EUR,40664.98
CAD,BRL,3608.54
USD,PHP,2991.57
CHF,PGK,398.46
SGD,CHF,4111.62
RUB,EUR,317.45
UZS,EUR,27.83
KRW,CNY,12.0
JPY,BYN,42.75
CAD,JPY,1614.47
NOK,USD,562777.3
BGN,CNY,412.01
JPY,CNY,266.28
CHF,CNY,192.28
GBP,UYU,294.2
GBP,MXN,26.98
KZT,BHD,1727.32
INR,CNY,114.36
KRW,BGN,317781.62
